date,value
2020-01-01,47.77551059883669
2020-01-02,55.85502081714135
2020-01-03,69.01782872669152
2020-01-04,76.71900638338987
2020-01-05,71.94572026295118
2020-01-06,73.62226998202816
2020-01-07,72.24081634528943
2020-01-08,80.06633875193303
2020-01-09,74.68334883292462
2020-01-10,80.405499767763
2020-01-11,82.6374885663662
2020-01-12,79.26278857468265
2020-01-13,95.10710950541053
2020-01-14,69.03972915935353
2020-01-15,89.8054108382421
2020-01-16,80.41420640291005
2020-01-17,81.24007608485329
2020-01-18,85.4200064487753
2020-01-19,88.39696857460878
2020-01-20,94.71903910006655
2020-01-21,93.24198563044862
2020-01-22,100.98405270757488
2020-01-23,95.70630087671906
2020-01-24,96.47995028457186
2020-01-25,98.04031146257454
2020-01-26,100.02058014191216
2020-01-27,106.580974468106
2020-01-28,104.41100951109097
2020-01-29,108.77611512389646
2020-01-30,102.70615353162717
2020-01-31,115.0925641661614
2020-02-01,109.60945182013329
2020-02-02,109.42802017126543
2020-02-03,103.06069895511635
2020-02-04,118.02013295255588
2020-02-05,129.308024776004
2020-02-06,120.20673518340642
2020-02-07,117.60526531532273
2020-02-08,116.97806217631647
2020-02-09,124.12323090198274
2020-02-10,125.3940902219272
2020-02-11,127.15586857329643
2020-02-12,123.68248384891919
2020-02-13,127.23492927758237
2020-02-14,120.912187067243
2020-02-15,132.7542745197473
2020-02-16,131.00345138073075
2020-02-17,135.40655856611193
2020-02-18,138.54497813405976
2020-02-19,130.97836686825912
2020-02-20,138.2357850968511
2020-02-21,138.49818815783226
2020-02-22,132.0803416063305
2020-02-23,138.1651422607366
2020-02-24,141.33585588727937
2020-02-25,141.1816074565219
2020-02-26,149.80393504478602
2020-02-27,148.61365172478514
2020-02-28,139.86500355261484
2020-02-29,143.56800049476448
2020-03-01,149.1877221563588
2020-03-02,149.37426360543708
2020-03-03,143.59207283056995
2020-03-04,148.952957804446
2020-03-05,138.47071146973187
2020-03-06,151.79940710948947
2020-03-07,144.57296764752502
2020-03-08,147.45685977779215
2020-03-09,150.951681746282
2020-03-10,143.2496021664537
2020-03-11,148.257694475699
2020-03-12,146.88866691764156
2020-03-13,150.19118940518263
2020-03-14,142.99870400228517
2020-03-15,151.28537188866235
2020-03-16,146.8085381678592
2020-03-17,147.9161386308982
2020-03-18,152.5407391745379
2020-03-19,153.87781168427406
2020-03-20,138.06624067880531
2020-03-21,139.6551327092351
2020-03-22,139.96493399060924
2020-03-23,144.88925722303787
2020-03-24,125.51161079828152
2020-03-25,150.15235604440426
2020-03-26,135.28601609348192
2020-03-27,141.8435315705792
2020-03-28,133.14892121885518
2020-03-29,144.1812964006124
2020-03-30,140.83525586371775
2020-03-31,130.31931910548028
2020-04-01,134.05192657199024
2020-04-02,143.09767635884168
2020-04-03,135.1312705005939
2020-04-04,129.06850270807155
2020-04-05,129.33059678838558
2020-04-06,120.91022526876526
2020-04-07,133.18765726314285
2020-04-08,132.7376362461823
2020-04-09,119.96689343965724
2020-04-10,115.8980590328039
2020-04-11,120.68837854723303
2020-04-12,122.16579143461391
2020-04-13,120.22700464080106
2020-04-14,111.83460368610348
2020-04-15,119.00588558243228
2020-04-16,126.2978779145227
2020-04-17,119.2971012184887
2020-04-18,118.97542399547237
2020-04-19,116.8417399542794
2020-04-20,110.07691627552578
2020-04-21,126.93905879198947
2020-04-22,118.27436238152328
2020-04-23,112.51549534829849
2020-04-24,123.64939235054433
2020-04-25,118.77857380557681
2020-04-26,117.43526885534908
2020-04-27,110.02703677309925
2020-04-28,119.77137085814647
2020-04-29,116.17476814581973
2020-04-30,115.30230486294191
2020-05-01,112.23541413006461
2020-05-02,107.64589952611149
2020-05-03,109.59769462809815
2020-05-04,121.42079086565865
2020-05-05,109.96677386921388
2020-05-06,99.35434300238505
2020-05-07,103.97826127067948
2020-05-08,106.04282097163323
2020-05-09,113.58562717845129
2020-05-10,113.22851454115198
2020-05-11,121.33975642705099
2020-05-12,113.66866280249455
2020-05-13,114.32972236339913
2020-05-14,109.54796812913467
2020-05-15,118.14166023674136
2020-05-16,121.12416711685316
2020-05-17,118.32850211946429
2020-05-18,120.59256640077419
2020-05-19,110.22634272176461
2020-05-20,122.45069474804463
2020-05-21,128.61380879551908
2020-05-22,123.20721985691735
2020-05-23,124.18881019509168
2020-05-24,125.265075503475
2020-05-25,129.88086640325017
2020-05-26,126.66931814431328
2020-05-27,126.92975460908629
2020-05-28,129.66259854526567
2020-05-29,126.72636732915309
2020-05-30,131.63317352058297
2020-05-31,132.19193488129864
2020-06-01,137.21418715961636
2020-06-02,142.53110660495435
2020-06-03,141.44263357104487
2020-06-04,142.43051302968894
2020-06-05,145.41530906631695
2020-06-06,142.67875617747137
2020-06-07,147.51403968322646
2020-06-08,145.5848696118392
2020-06-09,143.85723790373615
2020-06-10,149.45195175943468
2020-06-11,144.93391983317758
2020-06-12,147.81712699758214
2020-06-13,150.1863100168557
2020-06-14,145.10318746779373
2020-06-15,157.24883901855313
2020-06-16,155.71301404608636
2020-06-17,160.09125946134756
2020-06-18,153.05398309875875
2020-06-19,156.97951810880846
2020-06-20,155.58981151498918
2020-06-21,157.52197525205307
2020-06-22,151.3173282401354
2020-06-23,150.73766969456628
2020-06-24,162.16454467377486
2020-06-25,168.4662856733825
2020-06-26,162.9418282769945
2020-06-27,157.656607592152
2020-06-28,160.56129418740213
2020-06-29,160.3876166632666
2020-06-30,160.8170826223418
2020-07-01,162.87253191220645
2020-07-02,156.80711316591012
2020-07-03,158.85630329642802
2020-07-04,169.1573656672205
2020-07-05,151.0370463304001
2020-07-06,155.1339455158266
2020-07-07,156.03495734716745
2020-07-08,159.21110960525812
2020-07-09,158.52655027089224
2020-07-10,159.20940541275732
2020-07-11,156.47816206455173
2020-07-12,158.25164721452308
2020-07-13,153.44580492044582
2020-07-14,163.3320770099809
2020-07-15,158.15242167077548
2020-07-16,155.09031251386344
2020-07-17,146.7027653757902
2020-07-18,161.1042429359419
2020-07-19,164.10615809217816
2020-07-20,154.34710485698596
2020-07-21,156.9008142975448
2020-07-22,151.39003326688172
2020-07-23,147.43335610199722
2020-07-24,151.07171865423445
2020-07-25,153.44216672813852
2020-07-26,145.34156315628212
2020-07-27,145.5846872609432
2020-07-28,144.4318451801876
2020-07-29,142.5999750793186
2020-07-30,135.22528015959648
2020-07-31,136.29331262466957
2020-08-01,140.52771132892084
